All,Всі
"Mask for Meta Title","Маска для заголовку Meta"
"Mask for Meta Keywords","Маска для ключових слів Meta"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Використовувати {{name}} для назви товару або {{sku}} для артикула товару в якості покажчика місця заповнення"
"Mask for Meta Description","Маска для опису Meta"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Використовувати {{name}} і {{description}} для назви та опису товару в якості покажчика місця заповнення"
Storefront,Вітрина
"List Mode","Режим списку"
"Products per Page on Grid Allowed Values","Допустимі значення Товарів на сторінку по Сітці"
Comma-separated.,"Через кому."
"Products per Page on Grid Default Value","Типове значення Товарів на сторінку по Сітці"
"Must be in the allowed values list","Має бути в списку дозволених значень"
"Products per Page on List Allowed Values","Допустимі значення Товарів на сторінку у Списку"
"Products per Page on List Default Value","Типове значення Товарів на сторінку у Списку"
"Use Flat Catalog Category","Використовувати категорію плоского каталогу"
"Use Flat Catalog Product","Використовувати товар плоского каталогу"
"Product Listing Sort by","Сортування списку товарів"
"Allow All Products per Page","Дозволити всі товари на сторінці"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Чи відображати опцію ""Всі"" у випадаючому списку ""Показати X на сторінку"""
"Allow Dynamic Media URLs in Products and Categories","Дозволити динамічні URL для медіа у товарах та категоріях"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Напр. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Розбір динамічних директив впливає на продуктивність каталогу."
"Product Image Placeholders","Заповнювач для зображення товару"
"Page Title Separator","Роздільник заголовку сторінки"
"Use Canonical Link Meta Tag For Categories","Використовувати мета-тег канонічного посилання для категорій"
"Use Canonical Link Meta Tag For Products","Використовувати мета-тег канонічного посилання для товарів"
"Catalog Price Scope","Діапазон цін каталогу"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Цей параметр визначає межі базової грошової одиниці (""Налагодження валюти"" > ""Опції валюти"" > ""Базова грошова одиниця"")."
"Category Top Navigation","Верхня навігація категорії"
"Maximal Depth","Максимальна глибина"
"Date & Time Custom Options","Користувацькі опції дати та часу"
"Use JavaScript Calendar","Використовувати календар JavaScript"
"Date Fields Order","Порядок полів дати"
"Time Format","Формат часу"
"Year Range","Діапазон року"
"Please use a four-digit year format.","Будь ласка, використовуйте чотирьох-числовий формат дати."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Використовувати статичні URL-адреси для медіа-контенту в WYSIWYG для каталогу"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Це стосується лише товарів і категорій каталогу. Медіа-вміст буде вставлений у редактор як статична URL. Медіа-контент не оновлюватиметься, якщо зміниться базова URL-адреса системної конфігурації."
"Top Level Category","Категорія верхнього рівня"
"Product Info Column","Колонка інформації про товар"
"Block after Info Column","Блокувати після інформаційної колонки"
"Product Flat Data","Пласкі дані товарів"
"Reorganize EAV product structure to flat structure","Реорганізувати EAV структуру товарів у пласку структуру"
"Category Flat Data","Пласкі дані категорії"
"Reorganize EAV category structure to flat structure","Реорганізувати EAV структуру категорій у пласку структуру"
"Category Products","Продукти категорії"
"Indexed category/products association","Індексовані асоціації категорії/товари"
"Product Categories","Категорії товарів"
"Indexed product/categories association","Індексовані асоціації товари/категорії"
"Product Price","Ціна товару"
"Index product prices","Індексувати ціни товарів"
"Product EAV","EAV товарів"
"Index product EAV","Індексувати EAV товарів"
"Catalog New Products List","Перелік нових продуктів каталогу"
"List of Products that are set as New","Перелік товарів, позначених як нові"
"Display Type","Тип відображення"
"All products - recently added products, New products - products marked as new","Усі товари - нещодавно додані товари, Нові товари - товари, позначені як нові"
"All products","Усі товари"
"New products","Нові товари"
"Display Page Control","Відображати органи керування сторінкою"
"Number of Products per Page","Кількість товарів на сторінці"
"Number of Products to Display","Кількість товарів для показу"
Template,Шаблон
"New Products Grid Template","Шаблон сітки нових товарів"
"New Products List Template","Шаблон списку нових товарів"
"New Products Images and Names Template","Шаблон зображень та назв нових товарів"
"New Products Names Only Template","Шаблон самих назв нових товарів"
"New Products Images Only Template","Шаблон самих зображень нових товарів"
"Cache Lifetime (Seconds)","Строк життя кешу (секунд)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","Якщо не вказано, то типове значення 86400. Щоб оновити миттєво, очистіть кеш виводу блочного HTML."
"Catalog Product Link","Посилання на товар каталогу"
"Link to a Specified Product","Посилання на вказаний товар"
"Select Product...","Виберіть товар..."
"Anchor Custom Text","Користувацький текст якоря"
"If empty, we'll use the product name here.","Якщо порожньо, ми використаємо тут назву товару."
"Anchor Custom Title","Користувацький заголовок якоря"
"Product Link Block Template","Блочний шаблон посилання на товар"
"Product Link Inline Template","Рядний шаблон посилання на товар"
"Catalog Category Link","Посилання на категорію каталогу"
"Link to a Specified Category","Посилання на вказану категорію"
"Select Category...","Виберіть категорію..."
"If empty, we'll use the category name here.","Якщо порожньо, ми використаємо тут назву категорії."
"Category Link Block Template","Блочний шаблон посилання на категорію"
"Category Link Inline Template","Рядний шаблон посилання на категорію"
"Recently Viewed Products","Нещодавно переглянуті товари"
"List of Products Recently Viewed by Visitor","Перелік товарів нещодавно переглянутих відвідувачем"
"Number of Products to display","Кількість товарів для показу"
"Product attributes to show","Властивості товару для показу"
Image,Зображення
"Learn More Link","Щоб дізнатися більше, перейдіть за посиланням"
"Buttons to show","Кнопки для показу"
"Add to Wishlist","Додати до списку бажань"
"Viewed Products Grid Template","Таблична форма переглянутих товарів"
"Viewed Products List Template","Шаблон списку переглянутих товарів"
"Viewed Products Sidebar Template","Шаблон бічної панелі переглянутих товарів"
"Recently Compared Products","Нещодавно порівняні товари"
"List of Products Recently Compared by Visitor","Список товарів нещодавно порівняних відвідувачем"
"Compared Products Grid Template","Таблична форма порівняних товарів"
"Compared Products List Template","Шаблон списку порівняних товарів"
Set,Встановити
"Category Information","Інформація щодо категорії"
"Enable Category","Увімкнути категорію"
"Include in Menu","Включити до Меню"
"Category Image","Зображення категорії"
"Add CMS Block","Додати CMS-блок"
"Display Settings","Налаштування показу"
Anchor,Якір
"Use All","Використати все"
"Layered Navigation Price Step","Крок ціни у багаторівневій навігації"
"URL Key","Ключ URL-адреси"
"Meta Title","Meta заголовок"
"Meta Keywords","Meta ключові слова"
"Meta Description","Meta опис"
"Products in Category","Товари в категорії"
Theme,Тема
Layout,Розмітка
"Layout Update XML","XML оновлення розмітки"
"Apply Design to Products","Застосувати дизайн до товарів"
"Schedule Design Update","Запланувати оновлення дизайну"
StatusText,ТекстСтану
"Product Image Watermarks","Водяні знаки для зображення товару"
Base,Основа
"Allowed file types: jpeg, gif, png.","Дозволені типи файлів: jpeg, gif, png."
"Image Opacity","Прозорість зображення"
"Example format: 200x300.","Приклад формату: 200x300."
"Image Position","Положення зображення"
"Attribute Properties","Властивості атрибута"
"Attribute Label","Етикетка атрибуту"
"Catalog Input Type for Store Owner","Тип входу каталога для власника магазину"
Values,Значення
"Add this attribute to the list of column options in the product grid.","Додати цей атрибут до списку опцій стовпця у сітці товару."
"Add this attribute to the list of filter options in the product grid.","Додати цей атрибут до списку опцій фільтра у сітці товару."
"Delete selected items?","Видалити вибрані елементи?"
"Delete items","Видалити елементи"
"Change status","Змінити стан"
"Update attributes","Оновити атрибути"
Overview,Огляд
"Skip to the end of the images gallery","Перейти до кінця галереї зображень"
"Skip to the beginning of the images gallery","Перейти до початку галереї зображень"
"Recently Compared","Нещодавно порівняні"
"Add To Cart","Додати в кошик"
"Add To Compare","Додати до порівняння"
"Learn more","Дізнатися більше"
"Recently Viewed","Нещодавно переглянуті"
"Save Category","Зберегти категорію"
"Delete Category","Видалити категорію"
"New Subcategory","Нова підкатегорія"
"New Root Category","Нова коренева категорія"
"Set Root Category for Store","Встановити кореневу категорію для крамниці"
"Category Data","Дані категорії"
"Not shared with other products","Не використовується спільно з іншими товарами"
"Declare attribute value saving scope","Визначити область збереження атрибуту"
"Depends on design theme","Залежить від дизайну теми"
"We saved the price alert subscription.","Ми зберегли підписку на цінові оповіщення."
"We saved the stock notification.","Ми зберегли складське сповіщення."
"Images and Videos","Зображення та відео"
"Click here or drag and drop to add images.","Клацніть тут або перетягніть сюди щоб додати зображення."
"Make Base","Зробити основою"
"There was a category move error. %1","Сталася помилка переміщення категорії. %1"
"You moved the category","Ви перемістили категорію"
"This product no longer exists.","Цього товару вже не існує."
"We can't find the image file.","Ми не в змозі знайти файл зображення."
"Could not save product option","Не вдалося зберегти опцію товару"
"Product option with id %1 does not exist","Товарна опція з ідентифікатором %1 не існує"
"Are you sure you want to delete this category?","Ви впевнені, що хочете видалити цю категорію?"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Встановити кореневу категорію для цієї крамниці у <a href=""%1"">конфігурації</a>."
"Manage Options (values of your attribute)","Керувати опціями (значення вашого атрибуту)"
"An attribute group named ""/name/"" already exists"".","Група атрибутів під назвою ""/name/"" вже існує""."
"Close panel","Закрити панель"
"Allow Multiple Boxes for Shipping.","Дозволити кілька коробок на доставку."
Ok,Гаразд
"Watermark Default Size","Типовий розмір водяного знаку"
"Watermark Opacity, Percent","Непрозорість водяного знаку, відсотків"
Watermark,"Водяний знак"
"Watermark Position","Положення водяного знаку"
none,жодного
text,текст
"Tier Price","Рівень ціни"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Якщо ваш сайт Magento має кілька видів, ви можете встановити область застосування для певного виду."
"Sort Products By","Сортувати товари за"
"Default Product Sorting","Типове сортування товарів"
"Use Parent Category Settings","Використовувати параметри батьківської категорії"
to,до
"Edit Event","Редагувати подію"
"Add Event","Додати подію"
Events,Події
"Add Catalog Event","Додати подію каталогу"
"Back to Category","Назад до категорії"
"Edit Catalog Event","Редагувати подію каталогу"
"Catalog Event Information","Інформація про подію каталогу"
Upcoming,Майбутні
Open,Відкриті
Closed,Закриті
"Display Countdown Ticker On","Відображати зворотний відлік на"
"Category Page","Сторінка категорії"
"Product Page","Сторінка товару"
"Coming Soon",Незабаром
"Sale Ends In","Продаж закінчується о(б)"
"You deleted the event.","Ви видалили подію."
"New Event","Нова подія"
"Something went wrong while saving this event.","Щось пішло не так під час збереження цієї події."
"We did not upload your image.","Ми не завантажили ваше зображення."
"You saved the event.","Ви зберегли подію."
"%1 is required.","Необхідно вказати %1."
"Please make sure the end date follows the start date.","Будь ласка, переконайтеся, що дата закінчення слідує після дати початку."
"Event for selected category","Подія для обраної категорії"
"Lister Block","Блок переліку"
"This product is no longer on sale.","Цей товар більше не продається."
"Some of these products can no longer be sold.","Деякі з цих товарів більше не можуть бути продані."
"Select Category","Виберіть категорію"
Days,Дні
Hrs,Год
Mins,Хв
Sec,Сек
"Preview Sale","Попередній перегляд розпродажу"
"Go To Sale","Перейти до розпродажу"
"View Sale","Переглянути розпродаж"
"Catalog Events","Події каталогу"
"Enable Catalog Events Functionality","Увімкнути функціональність подій каталогу"
"Enable Catalog Event Widget on Storefront","Увімкнути віджет подій каталогу на Вітрині"
"Number of Events to be Displayed in Event Slider Widget","Кількість подій, що буде відображена у віджеті повзунка подій"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Ви можете замістити це типове значення у CMS, використовуючи змінну limit=""x"". Залиште порожнім задля жодних обмежень."
"Events to Scroll per Click in Event Slider Widget","Скільки прокручувати подій за одне клацання у віджеті повзунка подій"
"You can override this default value in CMS using the limit=""x"" variable.","Ви можете замістити це типове значення у CMS, використовуючи змінну limit=""x""."
"Catalog Events Carousel","Карусель подій каталогу"
"List all open Catalog Events as a Paginated Carousel","Перелічити всі відкриті події каталогу у вигляді посторінкової каруселі"
"Frame Size","Розмір рамки"
"Number of Items to display at once","Яку кількість елементів відображати одночасно"
Scroll,Прокручування
"Number of Items to scroll per click","Яку кількість елементів прокручувати за одне клацання"
"Block Custom Width","Користувацька ширина блоку"
"If empty, we'll automatically set the width value in pixels.","Якщо не заповнено, ми автоматично встановимо значення ширини у пікселях."
"Catalog Events Carousel Default Template","Типовий шаблон каруселі подій каталогу"
"Category ID","Ідентифікатор категорії"
Start,Початок
End,Закінчення
"Countdown Ticker","Лічільник зворотнього відліку"
"Edit Event...","Редагувати подію..."
"Add Event...","Додати подію..."
"Missing key %1 in product data","Відсутній ключ %1 в данних продукту"
"""model"" value should be specified","Значення ""model"" повиненне бути вказане"
"""path"" value should be specified","Значення ""path"" повиненне бути вказане"
"currentPage value %1 specified is greater than the number of pages available.","значення поточної сторінки %1, перевищує кількість сторінок."
"""id for category should be specified","Ідентифікатор для категорії повинен бути вказаний"
"'search' or 'filter' input argument is required.","Вкажіть ""path"" або ""filter""."
"There are no product types available for export.","Немає типів товарів доступних для експорту."
"'Entity type model must be an instance of ' .","'Типова модель об'єкту має бути на зразок'."
"Wrong attribute set code ""%1"", please correct it and try again.","Невірний код набору атрибутів ""%1"", будь ласка, виправте і спробуйте знову."
"Category ""%1"" has not been created.","Категорія ""%1"" не була створена."
"File directory '%1' is not readable.","Папка файлу '%1' не доступна для читання."
"File directory '%1' is not writable.","Папка файлу '%1' не доступна для запису."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","Значення доп. атрибуту 'price' в атрибуті 'store' містить неприпустиме значення"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'","Значення доп. атрибуту 'type' в атрибуті 'custom_options' містить неприпустиме значення, допустимі значення: 'dropdown', 'checkbox'"
"Please enter a value for title.","Будь ласка, введіть значення для заголовку."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","Значення доп. атрибуту 'price' в атрибуті 'custom_options' містить неприпустиме значення"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","Значення доп. атрибуту 'maximum characters' в атрибуті 'custom_options' містить неприпустиме значення"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","Значення доп. атрибуту 'sort order' в атрибуті 'custom_options' містить неприпустиме значення"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","Значення доп. атрибуту 'value price' в атрибуті 'custom_options' містить неприпустиме значення"
"This name is already being used for custom option. Please enter a different name.","Ця назва вже використовується для користувацької опції. Будь ласка, введіть іншу назву."
"Custom options have different types.","Користувацькі опції мають різні типи."
"Every option entity must have a parent product entity.","Кожний об'єкт опції повинен мати батьківський об'єкт товару."
"Please correct the parameters.","Будь ласка, виправте параметри."
"File '%1' was not found or has read restriction.","Файл '%1' не знайдено або він має обмеження щодо читання."
"Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Модель типу об\'єкта повинна бути екземпляром Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType"
"Entity type model must be an instance of '%1'","Об'єкт моделі повинна бути екземпляром '%1'"
"Disallowed file type.","Заборонений тип файлу."
"Minimum Qty","Мінімальна кіл-ть"
"Add Minimum Qty","Додати мінімальну кіл-ть"
"Could not rebuild index for empty products array","Не вдалося перебудувати індекс для порожнього масиву продуктів"
"The stock item for Product is not valid.","Складський елемент для товару неприпустимий."
"This product is out of stock.","Цього товару немає в наявності."
"Some of the products are out of stock.","Деяких з товарів немає в наявності."
"The stock item for Product in option is not valid.","Складський елемент для товару в опції неприпустимий."
"Undefined product type","Невизначений тип товару"
"%1 is not a correct comparison method.","%1 не є коректним методом порівняння."
"No Backorders","Немає відкладених замовлень"
"Allow Qty Below 0","Дозволяти кіл-ть, меншу за 0"
"Allow Qty Below 0 and Notify Customer","Дозволяти кіл-ть, меншу за 0 та повідомляти покупця"
"Unable to save Stock Item","Не вдалося зберегти Товар"
"Stock Item with id ""%1"" does not exist.","Складського елемента з ідентифікатором ""%1"" не існує."
"Unable to remove Stock Item with id ""%1""","Не вдалося видалити Товар з id ""%1"""
"Unable to save Stock","Не вдалося зберегти Запас"
"Stock with id ""%1"" does not exist.","Склад з ідентифікатором ""%1"" не існує."
"Unable to remove Stock with id ""%1""","Не вдалося зберегти Запас з id ""%1"""
"Unable to save Stock Status","Не вдалося зберегти стан на складі"
"Unable to remove Stock Status for product %1","Не вдалося видалити складський стан для товара %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Неприпустимий складський ідентифікатор: %1. Дозволений тільки типовий склад з ідентифікатором %2"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Неприпустимий ідентифікатор складського елементу: %1. Має бути null або числове значення, більше за 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Неприпустимий ідентифікатор складського елементу: %1. Назначеним ідентифікатором складського елементу є %2"
"Not all of your products are available in the requested quantity.","Не всі ваші товари наявні в запрошеній кількості."
"The fewest you may purchase is %1.","Ви можете придбати щонайменше %1."
"Please correct the quantity for some products.","Будь ласка, виправте кількості деяких товарів."
"The most you may purchase is %1.","Ви можете придбати щонайбільше %1."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","В нас немає стільки ""%1"", як ви запросили, проте ми додамо до відкладеного замовлення решту %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","В нас немає ""%1"" у кількості, яку ви запросили, тож ми додамо до відкладеного замовлення решту %2."
"You can buy %1 only in quantities of %2 at a time.","Ви можете придбати %1 тільки в кількостях %2 за раз."
"You can buy this product only in quantities of %1 at a time.","Ви можете придбати цей товар тільки у кількостях %1 за раз."
"Decimal qty increments is not allowed.","Десяткове збільшення кіл-сті не допускається."
"Stock Status","Стан складу"
"%1 is available to buy in increments of %2","%1 наявний для покупки з кроком збільшення в %2"
"Only %1 left","Тільки %1 залишилося"
"Product availability","Наявність товару"
"Inventory Section","Розділ інвентарю"
"Stock Options","Опції складу"
"Decrease Stock When Order is Placed","Зменшувати наявну кількість, коли замовлення розміщено"
"Set Items' Status to be In Stock When Order is Cancelled","Встановити стан елементу В наявності у разі, коли замовлення скасовано"
"Display Out of Stock Products","Показувати товари, яких немає в наявності"
"Products will still be shown by direct product URLs.","Товари все ще будуть відображатись за прямими URL-адресами."
"Only X left Threshold","Поріг, після якого Залишилось тільки X"
"Display Products Availability in Stock on Storefront","Показувати наявність товарів на Вітрині"
"Product Stock Options","Опції товарного запасу"
"Automatically Return Credit Memo Item to Stock","Автоматично повертати позицію сторно на склад"
Stock,Склад
"Index stock","Індексувати склад"
"Display products availability in stock on Storefront.","Показувати наявність товарів на Вітрині."
"New Permission","Новий дозвіл"
"You already have a permission with this scope.","Ви вже маєте ці права."
(Allow),(Дозволити)
(Deny),(Заборонити)
"Category Permissions","Категорії дозволів"
"Browsing Category","Перегляд категорії"
"Display Product Prices","Показати ціни товарів"
"No, Redirect to Landing Page","Ні, перейти до головної сторінки"
"Permission with the same scope","Такі самі права доступу"
"You may need more permissions to access this category.","Вам потрібно більше прав для доступу до цієї категорії."
"You may need more permissions to access this product.","Вам потрібно більше прав для доступу до цього товару."
"You cannot add ""%1"" to the cart.","Ви не можете додати ""%1"" у кошик."
"Permissions do not depend on store views.","Дозволи не залежать від вигляду магазинів."
"All Customer Groups","Усі групи покупців"
Allow,Дозволити
Deny,Заборонити
"Use parent","Використати основний"
"Category Permissions Section","Розділ категорій дозволів"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Увага!</strong> За замовчуванням ця функція обмежує усі категорії."
"Allow Browsing Category","Дозволити перегляд категорії"
"Landing Page","Головна сторінка"
"Allow Adding to Cart","Дозволити додавання до кошику"
"Disallow Catalog Search By","Заборонити пошук у каталозі за"
"Delete Rule","Видалити правило"
"Save and Apply","Зберегти та Застосувати"
"Catalog Price Rule","Правило цін каталога"
"Add New Rule","Додати нове правило"
"Apply Rules","Застосувати правила"
Conditions,Умови
Promotions,Заохочення
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Ми знайшли оновлені правила, що не застосовуються. Будь ласка, натисніть ""Застосувати правила"" для оновлення каталогу."
"We can't apply the rules.","Ми не можемо застосовувати правила."
"You deleted the rule.","Ви видалили правило."
"We can't find a rule to delete.","Ми не можемо знайти правило для видалення."
"New Catalog Price Rule","Нове правило цін каталогу"
"Edit Rule","Редагувати правило"
"New Rule","Нове правило"
"You saved the rule.","Ви зберегли правило."
"Something went wrong while saving the rule data. Please review the error log.","Щось пішло не так під час збереження правила. Будь-ласка, перегляньте журнал помилок."
"Unable to save rule %1","Не вдалося зберегти правило %1"
"Rule with specified ID ""%1"" not found.","Правило із зазначенним ID ""%1"" не знайдено."
"Unable to remove rule %1","Не вдалося видалити правило %1"
"Catalog rule indexing failed. See details in exception log.","Помилка при індексуванні правила каталогу. Дивіться детальніше в журналі винятків."
"Percentage discount should be between 0 and 100.","Відсоток знижки має бути від 0 до 100."
"Discount value should be 0 or greater.","Значення знижки має бути 0 або більше."
"Unknown action.","Невідома операція."
"Update the Product","Оновити товар"
"Rule price","Цінове правило"
"Update product's %1 %2: %3","Оновлення товарів %1 %2: %3"
"Apply as percentage of original","Застосувати як відсоток від оригіналу"
"Apply as fixed amount","Застосувати як фіксовану суму"
"Adjust final price to this percentage","Привести остаточну ціну до цього відсотку"
"Adjust final price to discount value","Привести остаточну ціну відповідно до значення знижки"
"Conditions Combination","Умови комбінації"
"Product Attribute","Атрибут товару"
"Updated rules applied.","Оновлені правила застосовані."
"Rule Information","Інформація про правило"
"Rule Name","Назва правила"
Priority,Пріоритет
"Discard subsequent rules","Скасувати наступні правила"
"Edit Rule '%1'","Редагування правила '%1'"
"Pricing Structure Rules","Правила формування цін"
"Subproduct discounts","Знижки на підпродукти"
"Wrong rule specified.","Вказані правила не вірні"
"Scheduled Changes","Заплановані зміни"
"Update Information","Оновити інформацію"
"Remove Catalog Price Rule from Update","Видалити правило цін каталога з оновлення"
"Schedule Update","Запланувати оновлення"
"Update Name","Назва оновлення"
"Save as a New Update","Зберегти як нове оновлення"
"Move to Another Update","Перемістити в інше оновлення"
"Delete the Update","Видалити оновлення"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","Правило цін каталогу буде видалено з оновлення і всі заплановані зміни буде втрачено."
"End Time","Час завершення"
"Catalog Price Rules","Правила цін каталога"
"Remove Catalog Price Rule from Campaign","Видалити правило цін каталога з кампанії"
"Catalog Advanced Search","Каталог розширеного пошуку"
"Advanced Search Results","Результати розширеного пошуку"
"Search Weight","Пошук за вагою"
Relevance,Релевантність
"Search results for: '%1'","Результати пошуку: '%1'"
"Minimum Search query length is %1","Мінімальна довжина запиту пошуку-%1"
"Please specify at least one search term.","Будь ласка, вкажіть принаймні один пошуковий термін."
"%1 and greater","%1 і більше"
"up to %1","до %1"
"Search Settings","Параметри пошуку"
"Advanced Search","Розширений пошук"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 елемент</strong> було знайдено, використовуючи такі умови пошуку"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 елементів</strong> було знайдено, використовуючи такі умови пошуку"
"We can't find any items matching these search criteria.","Ми не можемо знайти жодних елементів, що відповідають умовам пошуку."
"Modify your search.","Змінити ваш пошук."
"Don't see what you're looking for?","Не побачили, що шукали?"
"Your search returned no results.","На Ваш запит нічого не знайдено."
"Catalog Search","Пошук в каталозі"
"Popular Search Terms","Популярні пошукові терміни"
"Minimal Query Length","Мінімальна довжина запиту"
"Maximum Query Length","Максимальна довжина запиту"
"Rebuild Catalog product fulltext search index","Перебудувати індекс повнотекстового пошуку каталогу товарів"
"Modify your search","Змінити ваш пошук"
Preview,Перегляд
"The category will be removed from the update and all scheduled changes will be lost.","Категорію буде видалено з оновлення і всі заплановані зміни буде втрачено."
"Remove Product from Update","Видалити товар з оновлення"
"The product will be removed from the update and all scheduled changes will be lost.","Товар буде видалено з оновлення і всі заплановані зміни буде втрачено."
Path,Шлях
"Create Permanent Redirect for old URL","Створити постійну переадресацію для старих URL"
"Invalid URL key","Недопустимий ключ URL-адреси"
"You need to refresh the cache.","Вам необхідно оновити кеш."
"Invalid method: %1","Помилковий метод: %1"
"My Cart (1 item)","Кошик (1 шт)"
"My Cart (%1 items)","Кошик (%1 пунктів)"
"My Cart",Кошик
"For delivery questions.","Питання для доставки."
"Customer is already registered","Клієнт з такою поштою вже зареєстрований"
"Your session has expired","Ваш сеанс закінчився"
"A letter with further instructions will be sent to your email.","Лист з подальшими інструкціями буде надіслано Вам на електронну пошту."
"We can't find the quote item.","Ми не можемо знайти товар за вашим запитом."
"We cannot configure the product.","Ми не можемо налаштувати продукт."
"You used coupon code ""%1"".","Ви використовували код купона ""%1""."
"You canceled the coupon code.","Ви скасували код купона."
"We cannot apply the coupon code.","Ми не можемо застосовувати код купона."
"We can't remove the item.","Ми не можемо видалити позицію."
"%1 was updated in your shopping cart.","%1 був оновлений в кошику."
"We can't update the item right now.","Наразі ми не можемо оновити позицію."
"We can't update the shopping cart.","Ми не можемо оновити кошик."
"One-page checkout is turned off.","Одна сторінка оформлення замовлення вимкнута."
"Guest checkout is disabled.","Відгуки в оформлені замовлення вимкнуті."
Checkout,"Оформити замовлення"
"Something went wrong while processing your order. Please try again later.","Щось пішло не так під час обробки вашого замовлення. Будь ласка, спробуйте ще раз пізніше."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 не розширює \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Спосіб оплати"
"Payment Page","Сторінка Оплати"
"We can't find the product.","Ми не можемо знайти товар."
"We found an invalid request for adding product to quote.","Ми отримали некоректний запит на додавання товару в кошик."
"The product does not exist.","Продукт не існує."
"We don't have some of the products you want.","На жаль цих продуктів немає в наявності."
"We don't have as many of some products as you want.","Ми не маємо в наявності таку кількість товарів."
"Quantity was recalculated from %1 to %2","Кількість було повторно обчислено від %1 до %2"
"We adjusted product quantities to fit the required increments.","Ми підналаштували кількість товару у відповідності з мінімально допустимим кроком для підвищення."
"This quote item does not exist.","Вибачте, запрошеного Вами товару не існує."
"Display number of items in cart","Відобразити кількість товарів в кошику"
"Display item quantities","Відображати кількість елементу"
"Shipping address is not set","Не вказано адресу доставки"
"Unable to save shipping information. Please check input data.","Не вдалося зберегти інформацію про доставку. Будь ласка, перевірте введені дані."
"Carrier with such method not found: %1, %2","Перевізника з вказаним методом доставки не знайдено: %1, %2"
"Shipping method is not applicable for empty cart","Спосіб доставки не є вірним для порожнього кошика"
" item"," позиція"
" items"," елементи"
"Totals calculation is not applicable to empty cart","Не можно обчислити вартість порожнього кошику"
